,Model,Dataset,AUROC,Accuracy,Train time,Inference time,Trainable params,Shuffling
27,meanMLP,HCP Schaefer 200 ROI w/o denoising,0.8627848101265824,0.7597765363128491,25.4241247177124,0.0006704383722230709,32802,None
28,meanMLP,HCP Schaefer 200 ROI w/o denoising,0.8555696202531645,0.776536312849162,25.16269254684448,0.0008183990776871835,32802,None
29,meanMLP,HCP Schaefer 200 ROI w/o denoising,0.8578481012658228,0.770949720670391,23.623172521591187,0.0006685576625376441,32802,None
30,meanMLP,HCP Schaefer 200 ROI w/o denoising,0.8426582278481013,0.7877094972067039,24.8216495513916,0.0008013488194129986,32802,None
31,meanMLP,HCP Schaefer 200 ROI w/o denoising,0.8535443037974684,0.776536312849162,24.53146982192993,0.0006515713377371847,32802,None
32,meanMLP,HCP Schaefer 200 ROI w/o denoising,0.849746835443038,0.7877094972067039,25.10467553138733,0.0008121882071042194,32802,None
33,meanMLP,HCP Schaefer 200 ROI w/o denoising,0.829493670886076,0.7597765363128491,28.27244281768799,0.0006557922789504409,32802,None
34,meanMLP,HCP Schaefer 200 ROI w/o denoising,0.8741772151898736,0.770949720670391,21.948394775390625,0.0008179075891079184,32802,None
35,meanMLP,HCP Schaefer 200 ROI w/o denoising,0.8278481012658228,0.7374301675977654,21.63914275169373,0.0006694780381698183,32802,None
36,meanMLP,HCP Schaefer 200 ROI w/o denoising,0.8278481012658229,0.7821229050279329,23.63628387451172,0.000816100136527802,32802,None
37,meanMLP,HCP Schaefer 200 ROI w/o denoising,0.8610126582278481,0.7877094972067039,21.94704794883728,0.0006716344609606866,32802,None
38,meanMLP,HCP Schaefer 200 ROI w/o denoising,0.8445569620253165,0.7821229050279329,24.945672512054443,0.0008031789150983928,32802,None
39,meanMLP,HCP Schaefer 200 ROI w/o denoising,0.8310126582278481,0.7877094972067039,25.995882749557495,0.0006536931298964517,32802,None
40,meanMLP,HCP Schaefer 200 ROI w/o denoising,0.8487373737373738,0.7653631284916201,24.286388158798218,0.000797535454094743,32802,None
41,meanMLP,HCP Schaefer 200 ROI w/o denoising,0.8398989898989899,0.7541899441340782,25.972153663635257,0.0006687188281693272,32802,None
42,meanMLP,HCP Schaefer 200 ROI w/o denoising,0.8296717171717172,0.7430167597765364,21.573071002960205,0.0007991071519904962,32802,None
43,meanMLP,HCP Schaefer 200 ROI w/o denoising,0.8465909090909092,0.7374301675977654,22.9457950592041,0.0006769116364377836,32802,None
44,meanMLP,HCP Schaefer 200 ROI w/o denoising,0.8578282828282828,0.7988826815642458,21.81356191635132,0.0007882864115624455,32802,None
45,meanMLP,HCP Schaefer 200 ROI w/o denoising,0.856060606060606,0.770949720670391,22.117520809173584,0.0006518070924215476,32802,None
46,meanMLP,HCP Schaefer 200 ROI w/o denoising,0.8569444444444444,0.7821229050279329,23.234917640686035,0.0007951272932510802,32802,None
47,meanMLP,HCP Schaefer 200 ROI w/o denoising,0.8406565656565657,0.7430167597765364,22.148332595825195,0.0006551089899499989,32802,None
48,meanMLP,HCP Schaefer 200 ROI w/o denoising,0.8527777777777777,0.7877094972067039,25.523163318634033,0.0008091034169969612,32802,None
49,meanMLP,HCP Schaefer 200 ROI w/o denoising,0.8328282828282828,0.7430167597765364,22.6039354801178,0.0006797926385975417,32802,None
0,meanMLP,HCP Deskian/Killiany ROI in Orig space,0.8237500000000001,0.7485380116959064,11.579997062683104,0.0004529674150790388,17282,None
1,meanMLP,HCP Deskian/Killiany ROI in Orig space,0.8320833333333333,0.7426900584795322,9.767505645751951,0.00035121705796983506,17282,None
2,meanMLP,HCP Deskian/Killiany ROI in Orig space,0.8500000000000001,0.783625730994152,13.150124788284302,0.0003421836429172092,17282,None
3,meanMLP,HCP Deskian/Killiany ROI in Orig space,0.8054166666666667,0.7426900584795322,10.00695538520813,0.00027514480010807865,17282,None
4,meanMLP,HCP Deskian/Killiany ROI in Orig space,0.83875,0.7719298245614035,11.598872900009155,0.0002782358760722199,17282,None
5,meanMLP,HCP Deskian/Killiany ROI in Orig space,0.8420833333333333,0.7719298245614035,9.732804536819458,0.0003493389888116491,17282,None
6,meanMLP,HCP Deskian/Killiany ROI in Orig space,0.8125,0.7426900584795322,12.32600235939026,0.0003135399511683057,17282,None
7,meanMLP,HCP Deskian/Killiany ROI in Orig space,0.82375,0.7660818713450293,10.20470142364502,0.0003448787488435444,17282,None
8,meanMLP,HCP Deskian/Killiany ROI in Orig space,0.8479166666666667,0.7719298245614035,19.598352670669556,0.00039357051514742666,17282,None
9,meanMLP,HCP Deskian/Killiany ROI in Orig space,0.8190277777777778,0.7602339181286549,15.012820720672607,0.00035557412264639873,17282,None
10,meanMLP,HCP Deskian/Killiany ROI in Orig space,0.8341052631578947,0.7529411764705882,9.965046167373655,0.0002787590026855469,17282,None
11,meanMLP,HCP Deskian/Killiany ROI in Orig space,0.8061754385964913,0.7411764705882353,10.304764986038208,0.00027852479149313535,17282,None
12,meanMLP,HCP Deskian/Killiany ROI in Orig space,0.8346666666666668,0.7470588235294118,11.2249653339386,0.0003542759839226218,17282,None
13,meanMLP,HCP Deskian/Killiany ROI in Orig space,0.8411228070175439,0.7470588235294118,11.327910661697388,0.0002907416399787454,17282,None
14,meanMLP,HCP Deskian/Killiany ROI in Orig space,0.8276491228070175,0.7647058823529411,10.493809700012209,0.0002835357890409582,17282,None
15,meanMLP,HCP Deskian/Killiany ROI in Orig space,0.8440701754385965,0.7588235294117647,10.23724889755249,0.00028311925775864545,17282,None
16,meanMLP,HCP Deskian/Killiany ROI in Orig space,0.8217543859649122,0.7470588235294118,11.05694055557251,0.0003254834343405331,17282,None
17,meanMLP,HCP Deskian/Killiany ROI in Orig space,0.8516491228070175,0.7588235294117647,11.933382272720335,0.0002854263081270106,17282,None
18,meanMLP,HCP Deskian/Killiany ROI in Orig space,0.839438596491228,0.7352941176470589,12.607815265655518,0.00028610790477079503,17282,None
19,meanMLP,HCP Deskian/Killiany ROI in Orig space,0.8318596491228069,0.7470588235294118,9.767644882202148,0.0003031492233276367,17282,None
20,meanMLP,HCP Deskian/Killiany ROI in Orig space,0.848982456140351,0.7470588235294118,11.548017501831056,0.0002762584125294405,17282,None
21,meanMLP,HCP Deskian/Killiany ROI in Orig space,0.8301754385964913,0.7235294117647059,11.177695274353027,0.0003491822411032284,17282,None
22,meanMLP,HCP Deskian/Killiany ROI in Orig space,0.8404210526315788,0.7470588235294118,9.92690896987915,0.00028436885160558364,17282,None
23,meanMLP,HCP Deskian/Killiany ROI in Orig space,0.8408421052631578,0.7176470588235294,11.404967546463013,0.00028555813957663144,17282,None
24,meanMLP,HCP Deskian/Killiany ROI in Orig space,0.8203508771929825,0.7411764705882353,11.596277475357056,0.0002798907897051643,17282,None
25,meanMLP,HCP Deskian/Killiany ROI in Orig space,0.8659649122807018,0.7705882352941177,10.89903473854065,0.00036685887505026425,17282,None
26,meanMLP,HCP Deskian/Killiany ROI in Orig space,0.8321403508771928,0.7294117647058823,15.584341049194336,0.00028610930723302504,17282,None
27,meanMLP,HCP Deskian/Killiany ROI in Orig space,0.8359298245614035,0.7411764705882353,9.686010122299194,0.0002735698924345129,17282,None
28,meanMLP,HCP Deskian/Killiany ROI in Orig space,0.8400000000000001,0.7470588235294118,11.66323184967041,0.00035613144145292395,17282,None
29,meanMLP,HCP Deskian/Killiany ROI in Orig space,0.8409824561403508,0.7352941176470589,11.66907238960266,0.0002743692959056181,17282,None
30,meanMLP,HCP Deskian/Killiany ROI in Orig space,0.8433684210526315,0.7823529411764706,12.348968744277954,0.0002896687563727884,17282,None
31,meanMLP,HCP Deskian/Killiany ROI in Orig space,0.8085614035087718,0.788235294117647,12.288599014282228,0.00028328474830178655,17282,None
32,meanMLP,HCP Deskian/Killiany ROI in Orig space,0.8567017543859649,0.8058823529411765,10.429648876190186,0.00031200296738568477,17282,None
33,meanMLP,HCP Deskian/Killiany ROI in Orig space,0.8357894736842105,0.7647058823529411,11.759347200393677,0.0003443311242496266,17282,None
34,meanMLP,HCP Deskian/Killiany ROI in Orig space,0.8395789473684211,0.8176470588235294,13.100679397583008,0.0002795191372142119,17282,None
35,meanMLP,HCP Deskian/Killiany ROI in Orig space,0.8197894736842105,0.7941176470588235,12.34349250793457,0.00027785441454719097,17282,None
36,meanMLP,HCP Deskian/Killiany ROI in Orig space,0.8336842105263158,0.7823529411764706,11.480656862258911,0.0003596011330099667,17282,None
37,meanMLP,HCP Deskian/Killiany ROI in Orig space,0.848140350877193,0.7823529411764706,13.38563346862793,0.0003243558547076057,17282,None
38,meanMLP,HCP Deskian/Killiany ROI in Orig space,0.8336842105263157,0.7588235294117647,13.333420515060425,0.00028792128843419695,17282,None
39,meanMLP,HCP Deskian/Killiany ROI in Orig space,0.8391578947368421,0.788235294117647,11.076700925827026,0.0002749316832598518,17282,None
40,meanMLP,HCP Deskian/Killiany ROI in Orig space,0.8621754385964912,0.8411764705882353,13.85667610168457,0.00034374068765079274,17282,None
41,meanMLP,HCP Deskian/Killiany ROI in Orig space,0.872842105263158,0.7941176470588235,12.383618354797363,0.00027435947867000804,17282,None
42,meanMLP,HCP Deskian/Killiany ROI in Orig space,0.8639999999999999,0.788235294117647,10.21207356452942,0.0002731940325568704,17282,None
43,meanMLP,HCP Deskian/Killiany ROI in Orig space,0.8690526315789474,0.8235294117647058,10.508121967315674,0.00028572783750646256,17282,None
44,meanMLP,HCP Deskian/Killiany ROI in Orig space,0.8832280701754386,0.8117647058823529,10.917795419692991,0.00027977719026453355,17282,None
45,meanMLP,HCP Deskian/Killiany ROI in Orig space,0.8607719298245613,0.788235294117647,10.54393196105957,0.0003540319554946002,17282,None
46,meanMLP,HCP Deskian/Killiany ROI in Orig space,0.8948771929824563,0.7941176470588235,12.604572296142578,0.0003093214596019072,17282,None
47,meanMLP,HCP Deskian/Killiany ROI in Orig space,0.8757894736842106,0.8176470588235294,11.586094856262209,0.00028542210074032056,17282,None
48,meanMLP,HCP Deskian/Killiany ROI in Orig space,0.8930526315789474,0.8058823529411765,11.398849725723268,0.00027695403379552507,17282,None
49,meanMLP,HCP Deskian/Killiany ROI in Orig space,0.8495438596491228,0.7764705882352941,11.71673583984375,0.0003427449394674862,17282,None
0,meanMLP,HCP Deskian/Killiany ROI,0.7844444444444444,0.7485380116959064,7.941887140274048,0.00027837251362047697,17282,None
1,meanMLP,HCP Deskian/Killiany ROI,0.7668055555555555,0.695906432748538,9.455965757369995,0.00027437098542152093,17282,None
2,meanMLP,HCP Deskian/Killiany ROI,0.7818055555555555,0.7076023391812866,9.176721572875977,0.00021521529259040345,17282,None
3,meanMLP,HCP Deskian/Killiany ROI,0.7981944444444445,0.695906432748538,8.415794372558594,0.0002787322328801741,17282,None
4,meanMLP,HCP Deskian/Killiany ROI,0.80625,0.7368421052631579,9.583765506744385,0.00027566904212996275,17282,None
5,meanMLP,HCP Deskian/Killiany ROI,0.7804166666666666,0.7309941520467836,9.147947072982788,0.00021424349288494263,17282,None
6,meanMLP,HCP Deskian/Killiany ROI,0.7904166666666668,0.695906432748538,9.740402936935425,0.00031842404638814646,17282,None
7,meanMLP,HCP Deskian/Killiany ROI,0.7737499999999999,0.7017543859649122,8.700868844985962,0.0002524434474476597,17282,None
8,meanMLP,HCP Deskian/Killiany ROI,0.7790277777777778,0.6842105263157895,10.248039245605469,0.0002668405833997224,17282,None
9,meanMLP,HCP Deskian/Killiany ROI,0.7830555555555556,0.7309941520467836,8.192672491073608,0.00026411062095597475,17282,None
10,meanMLP,HCP Deskian/Killiany ROI,0.8324999999999999,0.7602339181286549,8.398717164993286,0.00021454325893469024,17282,None
11,meanMLP,HCP Deskian/Killiany ROI,0.8120833333333332,0.7309941520467836,9.090977907180786,0.00027829164650007993,17282,None
12,meanMLP,HCP Deskian/Killiany ROI,0.8268055555555555,0.7251461988304093,8.587033987045288,0.00021808746962519415,17282,None
13,meanMLP,HCP Deskian/Killiany ROI,0.8472222222222222,0.7894736842105263,8.336496829986572,0.0002200547714679562,17282,None
14,meanMLP,HCP Deskian/Killiany ROI,0.8393055555555555,0.7602339181286549,8.648881673812866,0.00021841372662817528,17282,None
